epoch,categorical_accuracy,loss,precision,recall,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.7604166865348816,1.1165199279785156,0.7604166865348816,0.7604166865348816,0.421875,2.6268813610076904,0.421875,0.421875
1,0.6041666865348816,1.552821159362793,0.6041666865348816,0.6041666865348816,0.734375,0.7066536545753479,0.734375,0.734375
2,0.7083333134651184,0.8829085230827332,0.7083333134651184,0.7083333134651184,0.84375,0.3385595977306366,0.84375,0.84375
3,0.90625,0.24640870094299316,0.90625,0.90625,0.875,0.23894523084163666,0.875,0.875
4,0.84375,0.35331955552101135,0.84375,0.84375,0.875,0.240810826420784,0.875,0.875
5,0.9479166865348816,0.11973386257886887,0.9479166865348816,0.9479166865348816,0.90625,0.20737417042255402,0.90625,0.90625
6,0.9166666865348816,0.22083373367786407,0.9166666865348816,0.9166666865348816,0.875,0.19125482439994812,0.875,0.875
7,0.9479166865348816,0.13254572451114655,0.9479166865348816,0.9479166865348816,1.0,0.05735692009329796,1.0,1.0
8,0.9479166865348816,0.11174003034830093,0.9479166865348816,0.9479166865348816,0.953125,0.10776445269584656,0.953125,0.953125
9,0.9479166865348816,0.1136767640709877,0.9479166865348816,0.9479166865348816,0.96875,0.08150825649499893,0.96875,0.96875
10,1.0,0.043766364455223083,1.0,1.0,1.0,0.06315482407808304,1.0,1.0
11,0.9895833134651184,0.07743149995803833,0.9895833134651184,0.9895833134651184,1.0,0.03579781576991081,1.0,1.0
12,0.9895833134651184,0.07628346234560013,0.9895833134651184,0.9895833134651184,1.0,0.03175414726138115,1.0,1.0
13,0.9791666865348816,0.06062041223049164,0.9791666865348816,0.9791666865348816,0.984375,0.07112708687782288,0.984375,0.984375
14,0.96875,0.05890120565891266,0.96875,0.96875,1.0,0.031224295496940613,1.0,1.0
15,1.0,0.02004161663353443,1.0,1.0,0.96875,0.0766838863492012,0.96875,0.96875
16,0.9791666865348816,0.058186087757349014,0.9791666865348816,0.9791666865348816,0.984375,0.043494440615177155,0.984375,0.984375
17,1.0,0.01497360784560442,1.0,1.0,1.0,0.014701983891427517,1.0,1.0
18,1.0,0.026221787557005882,1.0,1.0,1.0,0.024496499449014664,1.0,1.0
19,1.0,0.020109927281737328,1.0,1.0,1.0,0.025748811662197113,1.0,1.0
